물건번호,사건번호,물건종류,소재지,감정가,최저입찰가,낙찰가,입찰자수,면적,경매회차,지역,낙찰률,수집일시
SAMPLE-000023,2024타경70160,상가,경기 남구,343061886,274449509,274449509,3,113.57,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000024,2024타경48494,상가,서울 서초구,351120930,351120930,351120930,16,139.21,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000025,2024타경70692,상가,서울 남구,2096569304,2096569304,2096569304,9,42.1,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000026,2024타경65069,아파트,경기 강남구,577348617,461878894,461878894,5,102.54,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000027,2024타경96900,아파트,경기 남구,1012574063,648047400,736515519,1,75.21,3,경기,0.7274,2026-02-02 20:53:01
SAMPLE-000028,2024타경60343,오피스텔,인천 서초구,404718145,207215690,255764389,3,32.76,4,인천,0.632,2026-02-02 20:53:01
SAMPLE-000029,2024타경19435,아파트,대구 서초구,662056203,662056203,662056203,11,48.95,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000030,2024타경32700,단독주택,서울 남구,339588090,217336377,220685774,3,88.43,3,서울,0.6499,2026-02-02 20:53:01
SAMPLE-000031,2024타경20975,상가,서울 중구,2785233491,2785233491,2785233491,10,186.25,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000032,2024타경48088,단독주택,경기 강남구,312350325,312350325,312350325,6,88.22,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000033,2024타경18415,상가,대구 강남구,1260890305,645575836,662450587,1,57.64,4,대구,0.5254,2026-02-02 20:53:01
SAMPLE-000034,2024타경66397,오피스텔,경기 강남구,333675894,213552572,222203030,5,78.19,3,경기,0.6659,2026-02-02 20:53:01
SAMPLE-000035,2024타경47441,아파트,기타 송파구,516445736,413156589,413156589,4,65.15,2,기타,0.8,2026-02-02 20:53:01
SAMPLE-000036,2024타경95392,오피스텔,기타 서초구,320781704,256625363,256625363,4,78.83,2,기타,0.8,2026-02-02 20:53:01
SAMPLE-000037,2024타경51240,아파트,서울 송파구,769833270,615866616,615866616,3,147.8,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000038,2024타경61745,오피스텔,경기 강남구,703220857,703220857,703220857,7,56.12,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000039,2024타경18717,다세대,인천 서초구,74459509,59567607,59567607,4,101.95,2,인천,0.8,2026-02-02 20:53:01
SAMPLE-000040,2024타경83688,단독주택,경기 남구,540777078,540777078,540777078,9,97.27,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000041,2024타경72981,단독주택,서울 중구,539027186,539027186,539027186,14,49.03,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000042,2024타경87149,다세대,인천 송파구,175954811,175954811,175954811,5,74.84,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000043,2024타경16469,아파트,서울 서초구,858090375,351473817,547453391,2,85.14,5,서울,0.638,2026-02-02 20:53:01
SAMPLE-000044,2024타경69383,단독주택,경기 서초구,575936095,575936095,575936095,7,51.82,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000045,2024타경53925,상가,서울 중구,2971386662,1901687463,1939120082,6,84.8,3,서울,0.6526,2026-02-02 20:53:01
SAMPLE-000046,2024타경97062,상가,서울 강남구,2416511838,2416511838,2416511838,15,64.28,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000047,2024타경12336,아파트,경기 중구,542800679,542800679,542800679,12,98.5,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000048,2024타경13756,다세대,부산 서초구,444544536,284508503,284508503,2,60.79,3,부산,0.64,2026-02-02 20:53:01
SAMPLE-000049,2024타경37306,오피스텔,인천 중구,484938510,484938510,484938510,10,52.56,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000050,2024타경29256,단독주택,경기 강남구,723387642,462968091,462968091,4,113.02,3,경기,0.64,2026-02-02 20:53:01
SAMPLE-000051,2024타경18666,오피스텔,경기 서초구,344977687,344977687,344977687,5,23.29,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000052,2024타경37696,오피스텔,경기 강남구,236153409,236153409,236153409,8,47.15,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000053,2024타경99106,단독주택,경기 서초구,614698187,491758550,491758550,4,107.46,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000054,2024타경91974,아파트,부산 중구,507959951,406367961,406367961,4,97.68,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000055,2024타경57057,다세대,대구 서초구,210233720,210233720,210233720,12,79.66,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000056,2024타경72516,아파트,서울 중구,185818475,148654780,148654780,7,59.96,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000057,2024타경61693,오피스텔,기타 중구,381660010,244262406,244262406,1,28.41,3,기타,0.64,2026-02-02 20:53:01
SAMPLE-000058,2024타경71396,다세대,경기 송파구,152706814,152706814,152706814,9,54.51,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000059,2024타경82355,아파트,서울 강남구,1138449180,910759344,910759344,6,67.58,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000060,2024타경34058,오피스텔,서울 남구,561795619,449436495,449436495,4,48.56,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000061,2024타경67134,오피스텔,경기 중구,577049215,577049215,577049215,13,26.4,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000062,2024타경66276,오피스텔,부산 서초구,499411796,399529437,399529437,4,59.53,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000063,2024타경30662,상가,부산 중구,465938152,372750522,372750522,4,49.6,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000064,2024타경85532,아파트,경기 남구,834587589,667670071,667670071,3,121.16,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000065,2024타경65619,다세대,기타 서초구,327561964,327561964,327561964,8,119.81,1,기타,1.0,2026-02-02 20:53:01
SAMPLE-000066,2024타경90435,상가,서울 중구,200940713,160752571,160752571,7,197.91,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000067,2024타경76262,오피스텔,경기 강남구,618803258,396034085,405599661,1,33.83,3,경기,0.6555,2026-02-02 20:53:01
SAMPLE-000068,2024타경93560,아파트,기타 송파구,796333632,796333632,796333632,7,59.13,1,기타,1.0,2026-02-02 20:53:01
SAMPLE-000069,2024타경95956,오피스텔,서울 남구,813223502,520463041,586206331,4,77.34,3,서울,0.7208,2026-02-02 20:53:01
SAMPLE-000070,2024타경61756,아파트,서울 강남구,1341923463,687064813,856382269,3,96.77,4,서울,0.6382,2026-02-02 20:53:01
SAMPLE-000071,2024타경43062,상가,인천 서초구,1402897780,1402897780,1402897780,8,157.96,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000072,2024타경23507,상가,인천 중구,2160679112,2160679112,2160679112,11,137.41,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000073,2024타경39241,단독주택,서울 서초구,518439477,518439477,518439477,14,93.74,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000074,2024타경54413,다세대,서울 중구,748059037,598447230,598447230,5,68.36,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000075,2024타경46444,단독주택,부산 남구,741190932,379489757,390928109,2,107.16,4,부산,0.5274,2026-02-02 20:53:01
SAMPLE-000076,2024타경89083,오피스텔,대구 중구,428159227,428159227,428159227,5,57.57,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000077,2024타경58787,단독주택,경기 강남구,355921311,284737048,284737048,8,44.47,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000078,2024타경35003,다세대,부산 강남구,473556876,378845501,378845501,4,36.52,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000079,2024타경25313,오피스텔,서울 중구,819052616,655242092,655242092,9,55.69,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000080,2024타경55500,단독주택,서울 남구,1074988977,440315485,552076102,3,49.73,5,서울,0.5136,2026-02-02 20:53:01
SAMPLE-000081,2024타경86707,아파트,대구 서초구,231096602,184877282,184877282,4,145.69,2,대구,0.8,2026-02-02 20:53:01
SAMPLE-000082,2024타경74324,오피스텔,경기 남구,665314727,532251782,532251782,4,32.64,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000083,2024타경62233,아파트,서울 송파구,1325512366,1060409893,1060409893,6,88.98,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000084,2024타경93194,다세대,경기 남구,421470816,337176653,337176653,7,43.12,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000085,2024타경66503,단독주택,서울 송파구,280659684,143697758,170497904,1,77.81,4,서울,0.6075,2026-02-02 20:53:01
SAMPLE-000086,2024타경58320,다세대,경기 서초구,347412293,347412293,347412293,8,41.32,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000087,2024타경27087,오피스텔,인천 강남구,372383965,238325737,245430475,3,57.07,3,인천,0.6591,2026-02-02 20:53:01
SAMPLE-000088,2024타경13726,아파트,경기 강남구,1060413726,848330981,848330981,7,126.06,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000089,2024타경87576,단독주택,인천 송파구,567858833,454287066,454287066,3,64.24,2,인천,0.8,2026-02-02 20:53:01
SAMPLE-000090,2024타경43174,상가,대구 송파구,977629852,977629852,977629852,8,111.46,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000091,2024타경64691,상가,대구 서초구,506354727,506354727,506354727,6,187.6,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000092,2024타경69189,다세대,서울 강남구,354145643,354145643,354145643,11,40.97,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000093,2024타경46041,단독주택,서울 강남구,842322591,673858072,673858072,7,115.63,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000094,2024타경67993,다세대,부산 강남구,117366785,117366785,117366785,7,68.16,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000095,2024타경83379,상가,경기 송파구,1252628438,1252628438,1252628438,11,197.92,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000096,2024타경15249,아파트,경기 중구,364788914,364788914,364788914,11,79.05,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000097,2024타경82982,다세대,경기 중구,597559464,597559464,597559464,11,70.17,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000098,2024타경15782,오피스텔,서울 서초구,894137131,715309705,715309705,6,75.62,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000099,2024타경70631,상가,경기 서초구,319825462,255860370,255860370,6,189.28,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000100,2024타경21138,오피스텔,부산 송파구,238433152,190746521,190746521,5,24.86,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000101,2024타경82146,아파트,대구 송파구,629708577,503766862,503766862,3,53.39,2,대구,0.8,2026-02-02 20:53:01
SAMPLE-000102,2024타경38141,상가,부산 송파구,973620805,398795081,486810402,1,39.89,5,부산,0.5,2026-02-02 20:53:01
SAMPLE-000103,2024타경79252,단독주택,인천 서초구,617730582,617730582,617730582,11,50.6,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000104,2024타경10671,오피스텔,경기 중구,589170747,471336597,471336597,3,54.93,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000105,2024타경65316,아파트,서울 서초구,889745310,569436998,617265603,3,89.98,3,서울,0.6938,2026-02-02 20:53:01
SAMPLE-000106,2024타경33472,상가,서울 강남구,441126159,225856593,225856593,3,141.98,4,서울,0.512,2026-02-02 20:53:01
SAMPLE-000107,2024타경20142,단독주택,경기 중구,868318363,355663201,434159181,1,39.51,5,경기,0.5,2026-02-02 20:53:01
SAMPLE-000108,2024타경33888,오피스텔,기타 강남구,456003202,456003202,456003202,4,67.03,1,기타,1.0,2026-02-02 20:53:01
SAMPLE-000109,2024타경36806,아파트,경기 강남구,342142243,273713794,273713794,7,53.35,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000110,2024타경86272,아파트,경기 중구,714099295,714099295,714099295,8,82.75,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000111,2024타경23057,아파트,경기 남구,806956424,330529351,501843565,1,64.32,5,경기,0.6219,2026-02-02 20:53:01
SAMPLE-000112,2024타경32656,상가,부산 중구,1653792126,1323033701,1323033701,6,66.3,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000113,2024타경25379,상가,대구 송파구,565212586,361736055,361736055,3,62.97,3,대구,0.64,2026-02-02 20:53:01
SAMPLE-000114,2024타경69796,오피스텔,대구 서초구,292109317,292109317,292109317,5,50.12,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000115,2024타경24226,단독주택,서울 중구,602981754,385908323,431356401,2,66.21,3,서울,0.7154,2026-02-02 20:53:01
SAMPLE-000116,2024타경60288,단독주택,경기 송파구,676462707,541170166,541170166,5,43.41,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000117,2024타경64220,단독주택,부산 송파구,798925882,639140705,639140705,4,113.98,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000118,2024타경35279,아파트,경기 남구,753397419,385739478,448095082,2,116.74,4,경기,0.5948,2026-02-02 20:53:01
SAMPLE-000119,2024타경84971,단독주택,서울 송파구,303586475,242869180,242869180,6,95.51,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000120,2024타경27073,단독주택,부산 강남구,783642524,626914019,626914019,3,63.41,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000121,2024타경97896,오피스텔,경기 남구,657496007,525996806,525996806,6,21.31,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000122,2024타경54629,단독주택,경기 강남구,268994712,268994712,268994712,8,43.61,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000123,2024타경80202,아파트,인천 서초구,333885581,267108464,267108464,4,133.16,2,인천,0.8,2026-02-02 20:53:01
SAMPLE-000124,2024타경28489,오피스텔,서울 중구,733296995,733296995,733296995,13,32.08,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000125,2024타경59159,다세대,경기 중구,358357351,358357351,358357351,8,38.47,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000126,2024타경16629,단독주택,부산 강남구,329687098,263749679,263749679,4,58.11,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000127,2024타경11125,단독주택,서울 서초구,404619218,323695374,323695374,7,110.46,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000128,2024타경62142,오피스텔,서울 중구,129833865,103867092,103867092,7,53.59,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000129,2024타경94246,단독주택,경기 강남구,378371145,242157533,242157533,2,103.73,3,경기,0.64,2026-02-02 20:53:01
SAMPLE-000130,2024타경77494,상가,대구 강남구,1532790828,1532790828,1532790828,3,73.18,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000131,2024타경92379,단독주택,서울 강남구,1041115097,832892077,832892077,3,55.13,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000132,2024타경18787,아파트,부산 강남구,698486413,357625043,429839775,2,68.63,4,부산,0.6154,2026-02-02 20:53:01
SAMPLE-000133,2024타경59416,아파트,경기 강남구,149349017,149349017,149349017,15,146.29,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000134,2024타경45292,단독주택,경기 강남구,646718837,646718837,646718837,9,56.75,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000135,2024타경59879,단독주택,경기 강남구,956441262,765153010,765153010,3,107.01,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000136,2024타경28230,상가,인천 중구,281812763,225450210,225450210,4,184.82,2,인천,0.8,2026-02-02 20:53:01
SAMPLE-000137,2024타경14378,단독주택,서울 송파구,992081576,992081576,992081576,9,117.37,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000138,2024타경26724,단독주택,경기 남구,531362935,425090348,425090348,5,72.57,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000139,2024타경62780,아파트,서울 강남구,685675743,685675743,685675743,11,44.88,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000140,2024타경62893,단독주택,부산 남구,723468061,723468061,723468061,6,90.38,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000141,2024타경46636,아파트,인천 강남구,789724014,789724014,789724014,7,52.59,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000142,2024타경88928,다세대,경기 강남구,380576827,304461461,304461461,4,30.91,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000143,2024타경52849,단독주택,서울 송파구,698850481,698850481,698850481,14,81.95,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000144,2024타경31312,오피스텔,대구 강남구,500985290,500985290,500985290,7,45.86,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000145,2024타경17597,단독주택,경기 송파구,583446717,583446717,583446717,11,64.1,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000146,2024타경52261,오피스텔,서울 중구,138214635,110571708,110571708,8,65.37,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000147,2024타경84027,상가,서울 송파구,1728077733,1105969749,1105969749,2,122.09,3,서울,0.64,2026-02-02 20:53:01
SAMPLE-000148,2024타경45428,단독주택,경기 중구,632764728,506211783,506211783,6,42.53,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000149,2024타경23893,오피스텔,서울 강남구,582551310,582551310,582551310,7,55.95,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000150,2024타경28354,오피스텔,경기 중구,708136123,453207119,473657591,4,49.0,3,경기,0.6689,2026-02-02 20:53:01
SAMPLE-000151,2024타경46188,상가,경기 송파구,2391160325,2391160325,2391160325,6,40.11,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000152,2024타경46976,오피스텔,인천 송파구,164896894,164896894,164896894,7,37.96,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000153,2024타경51869,아파트,경기 중구,803538837,803538837,803538837,12,47.59,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000154,2024타경56092,상가,기타 중구,189921042,151936833,151936833,2,192.37,2,기타,0.8,2026-02-02 20:53:01
SAMPLE-000155,2024타경90905,다세대,서울 중구,617350851,493880681,493880681,7,113.63,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000156,2024타경25649,단독주택,인천 서초구,541289099,541289099,541289099,8,71.69,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000157,2024타경15793,다세대,부산 중구,172196171,172196171,172196171,10,66.22,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000158,2024타경95716,단독주택,부산 남구,729716894,373615049,373615049,2,69.04,4,부산,0.512,2026-02-02 20:53:01
SAMPLE-000159,2024타경97592,오피스텔,인천 송파구,640579172,327976536,371546066,1,65.66,4,인천,0.58,2026-02-02 20:53:01
SAMPLE-000160,2024타경95896,다세대,인천 중구,436536406,279383299,282891394,3,30.26,3,인천,0.648,2026-02-02 20:53:01
SAMPLE-000161,2024타경38172,다세대,부산 남구,488566315,390853052,390853052,3,34.7,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000162,2024타경54864,다세대,서울 중구,158948669,127158935,127158935,4,67.23,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000163,2024타경61955,단독주택,서울 강남구,439310215,281158537,301947407,3,41.84,3,서울,0.6873,2026-02-02 20:53:01
SAMPLE-000164,2024타경12204,단독주택,서울 서초구,517305514,211888338,266567130,2,88.18,5,서울,0.5153,2026-02-02 20:53:01
SAMPLE-000165,2024타경99388,다세대,경기 송파구,463619979,463619979,463619979,12,72.64,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000166,2024타경45063,오피스텔,기타 강남구,283342315,283342315,283342315,8,74.39,1,기타,1.0,2026-02-02 20:53:01
SAMPLE-000167,2024타경38328,다세대,경기 중구,470987685,241145694,305434155,4,61.88,4,경기,0.6485,2026-02-02 20:53:01
SAMPLE-000168,2024타경68627,오피스텔,경기 중구,349764619,279811695,279811695,3,77.18,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000169,2024타경30022,오피스텔,부산 송파구,264621349,264621349,264621349,15,61.9,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000170,2024타경13696,상가,서울 송파구,1297878535,1297878535,1297878535,13,182.09,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000171,2024타경44540,다세대,경기 강남구,485276506,388221205,388221205,4,52.59,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000172,2024타경49464,상가,경기 송파구,1759684565,1407747652,1407747652,6,125.77,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000173,2024타경17415,단독주택,인천 중구,425513280,272328499,272328499,2,56.57,3,인천,0.64,2026-02-02 20:53:01
SAMPLE-000174,2024타경48402,상가,서울 송파구,514420383,514420383,514420383,9,160.14,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000175,2024타경55046,단독주택,기타 서초구,236632611,151444871,151444871,3,89.67,3,기타,0.64,2026-02-02 20:53:01
SAMPLE-000176,2024타경30583,다세대,서울 송파구,256588261,256588261,256588261,15,76.58,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000177,2024타경45060,아파트,서울 송파구,318919097,318919097,318919097,3,133.55,1,서울,1.0,2026-02-02 20:53:01
SAMPLE-000178,2024타경44675,아파트,부산 송파구,754351085,386227755,427403562,1,101.83,4,부산,0.5666,2026-02-02 20:53:01
SAMPLE-000179,2024타경26835,다세대,인천 중구,472422655,377938124,377938124,6,38.78,2,인천,0.8,2026-02-02 20:53:01
SAMPLE-000180,2024타경10112,다세대,대구 중구,317444712,317444712,317444712,5,101.7,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000181,2024타경56220,상가,경기 중구,924745387,924745387,924745387,9,135.62,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000182,2024타경72875,오피스텔,부산 강남구,392573401,392573401,392573401,6,79.42,1,부산,1.0,2026-02-02 20:53:01
SAMPLE-000183,2024타경71842,상가,서울 중구,1809222205,1447377764,1447377764,6,64.75,2,서울,0.8,2026-02-02 20:53:01
SAMPLE-000184,2024타경65561,오피스텔,인천 남구,240953959,123368427,137624107,2,20.91,4,인천,0.5712,2026-02-02 20:53:01
SAMPLE-000185,2024타경91132,오피스텔,부산 서초구,539156788,431325431,431325431,3,32.16,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000186,2024타경20278,아파트,경기 강남구,922250972,590240622,659339868,4,75.97,3,경기,0.7149,2026-02-02 20:53:01
SAMPLE-000187,2024타경22625,상가,대구 서초구,1353216587,1353216587,1353216587,4,32.34,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000188,2024타경95947,다세대,대구 중구,378308441,302646752,302646752,4,113.94,2,대구,0.8,2026-02-02 20:53:01
SAMPLE-000189,2024타경98835,아파트,대구 남구,629835068,503868054,503868054,4,126.61,2,대구,0.8,2026-02-02 20:53:01
SAMPLE-000190,2024타경45529,오피스텔,경기 중구,674517032,431690900,437517151,2,26.32,3,경기,0.6486,2026-02-02 20:53:01
SAMPLE-000191,2024타경58516,상가,부산 중구,1469074542,1175259633,1175259633,3,170.5,2,부산,0.8,2026-02-02 20:53:01
SAMPLE-000192,2024타경69848,다세대,경기 남구,206609327,206609327,206609327,12,50.86,1,경기,1.0,2026-02-02 20:53:01
SAMPLE-000193,2024타경39345,상가,경기 강남구,1765998638,1412798910,1412798910,6,95.42,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000194,2024타경40049,다세대,인천 송파구,176449395,176449395,176449395,11,35.2,1,인천,1.0,2026-02-02 20:53:01
SAMPLE-000195,2024타경10192,상가,대구 강남구,1169726355,1169726355,1169726355,5,120.53,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000196,2024타경10717,아파트,대구 남구,635329615,406610954,416333176,2,84.89,3,대구,0.6553,2026-02-02 20:53:01
SAMPLE-000197,2024타경65480,오피스텔,대구 중구,261338131,261338131,261338131,4,49.06,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000198,2024타경83933,단독주택,경기 송파구,945731727,756585381,756585381,3,70.54,2,경기,0.8,2026-02-02 20:53:01
SAMPLE-000199,2024타경88542,단독주택,경기 강남구,743735446,475990685,475990685,1,89.11,3,경기,0.64,2026-02-02 20:53:01
SAMPLE-000200,2024타경86674,단독주택,부산 남구,529413832,338824852,338824852,3,100.38,3,부산,0.64,2026-02-02 20:53:01
SAMPLE-000201,2024타경53307,다세대,대구 송파구,279416735,279416735,279416735,5,86.92,1,대구,1.0,2026-02-02 20:53:01
SAMPLE-000202,2024타경53395,아파트,경기 중구,264342627,211474102,211474102,7,88.82,2,경기,0.8,2026-02-02 20:53:01
