물건번호,사건번호,물건종류,소재지,감정가,최저입찰가,낙찰가,입찰자수,면적,경매회차,지역,낙찰률,수집일시,감정가_log,최저입찰가_log,최저가율,입찰자수_log,경쟁지수,면적_log,평당감정가,평당감정가_log,경매회차_제곱,회차페널티,지역_encoded,지역_경기,지역_기타,지역_대구,지역_부산,지역_서울,지역_인천,물건종류_encoded,물건종류_다세대,물건종류_단독주택,물건종류_상가,물건종류_아파트,물건종류_오피스텔,감정가x입찰자수,최저가율x입찰자수,면적x입찰자수,가격구간,가격구간_1억이하,가격구간_1-3억,가격구간_3-5억,가격구간_5-10억,가격구간_10억이상
SAMPLE-000011,2024타경61663,아파트,서울 남구,345608077,141561068,205704899,2,93.84,5,서울,0.5951970242871378,2026-02-02 20:53:01,19.660815968463602,18.768241764981262,0.40959999901854144,1.0986122886681098,0.30181845619859654,4.552191261197205,12175043.04848062,16.314898844871404,25,0.6,4,False,False,False,False,True,False,3,False,False,False,True,False,21.599614028196317,0.8191999980370829,5.0010932599188305,3-5억,False,False,True,False,False
SAMPLE-000012,2024타경49384,오피스텔,경기 서초구,518800161,415040129,415040129,4,21.0,2,경기,0.8000000003855049,2026-02-02 20:53:01,20.067029322665572,19.843885772315126,0.8000000003855049,1.6094379124341003,0.6036369123971931,3.091042453358316,81668659.74025974,18.218180896770466,4,0.9,0,True,False,False,False,False,False,4,False,False,False,False,True,32.29663778182476,3.2000000015420196,4.974840913378188,5-10억,False,False,False,True,False
SAMPLE-000013,2024타경42711,다세대,서울 중구,520489231,416391384,416391384,7,103.55,2,서울,0.7999999984629845,2026-02-02 20:53:01,20.07027975800511,19.84713620524995,0.7999999984629845,2.0794415416798357,1.0563645966950879,4.649665425874643,16616374.283194529,16.625899229935087,4,0.9,4,False,False,False,False,True,False,0,True,False,False,False,False,41.734973481931746,5.599999989240891,9.668707441476197,5-10억,False,False,False,True,False
SAMPLE-000014,2024타경96831,단독주택,경기 중구,470380557,192667876,238467707,1,114.61,5,경기,0.5069676104831008,2026-02-02 20:53:01,19.969052622912237,19.07647841995573,0.4095999996870619,0.6931471805599453,0.15090922809929827,4.75022245768723,13567551.242770128,16.4231916354942,25,0.6,0,True,False,False,False,False,False,1,False,True,False,False,False,13.841492524024797,0.4095999996870619,3.2926033035784377,3-5억,False,False,True,False,False
SAMPLE-000015,2024타경83744,오피스텔,인천 중구,413072521,413072521,413072521,11,25.62,1,인천,1.0,2026-02-02 20:53:01,19.839133733572726,19.839133733572726,1.0,2.4849066497880004,1.660001509092281,3.2816628129669656,53299336.26234669,17.791434454956455,1,1.0,5,False,False,False,False,False,True,4,False,False,False,False,True,49.29839534058831,11.0,8.154625746303608,3-5억,False,False,True,False,False
SAMPLE-000016,2024타경95314,단독주택,경기 서초구,398057066,254756522,258464583,3,109.51,3,경기,0.649315399918061,2026-02-02 20:53:01,19.80210593739226,19.355818835234878,0.6399999993970714,1.3862943611198906,0.45272768429789484,4.705106014600691,12016173.201285062,16.301764150324797,9,0.8,0,True,False,False,False,False,False,1,False,True,False,False,False,27.451547799305594,1.9199999981912144,6.52266193651222,3-5억,False,False,True,False,False
SAMPLE-000017,2024타경15801,아파트,경기 서초구,1031750191,1031750191,1031750191,8,142.3,1,경기,1.0,2026-02-02 20:53:01,20.75452241268854,20.75452241268854,1.0,2.1972245773362196,1.2072738247943862,4.964940334834126,23968688.918185882,16.992258949855845,1,1.0,0,True,False,False,False,False,False,3,False,False,False,True,False,45.602346736034676,8.0,10.909088928705462,10억이상,False,False,False,False,True
SAMPLE-000018,2024타경97922,오피스텔,서울 중구,596980694,596980694,596980694,6,24.9,1,서울,1.0,2026-02-02 20:53:01,20.20739533415062,20.20739533415062,1.0,1.9459101490553132,0.9054553685957897,3.254242968705492,79256622.390388,18.188201543133342,1,1.0,4,False,False,False,False,True,False,4,False,False,False,False,True,39.321775666696674,6.0,6.332464420295909,5-10억,False,False,False,True,False
SAMPLE-000019,2024타경78027,다세대,서울 남구,465339095,372271276,372271276,3,33.23,2,서울,0.8,2026-02-02 20:53:01,19.958276936495956,19.73513338571899,0.8,1.3862943611198906,0.45272768429789484,3.533102452542094,46292839.538105324,17.650497875093336,4,0.9,4,False,False,False,False,True,False,0,True,False,False,False,False,27.668046774733508,2.4000000000000004,4.8979200072179605,3-5억,False,False,True,False,False
SAMPLE-000020,2024타경83847,아파트,대구 송파구,309949761,247959809,247959809,3,146.18,2,대구,0.8000000006452659,2026-02-02 20:53:01,19.55192078424612,19.32877723454508,0.8000000006452659,1.3862943611198906,0.45272768429789484,4.991656327498453,7009353.59892536,15.762756186145287,4,0.9,2,False,False,True,False,False,False,3,False,False,False,True,False,27.104717532263187,2.4000000019357977,6.919905019459527,3-5억,False,False,True,False,False
SAMPLE-000021,2024타경39375,단독주택,부산 남구,313059342,313059342,313059342,6,46.59,1,부산,1.0,2026-02-02 20:53:01,19.56190332478291,19.56190332478291,1.0,1.9459101490553132,0.9054553685957897,3.862622655133019,22213069.665217414,16.916191442289705,1,1.0,3,False,False,False,True,False,False,1,False,True,False,False,False,38.06570621453394,6.0,7.516316626594323,3-5억,False,False,True,False,False
SAMPLE-000022,2024타경88832,상가,경기 중구,684826656,438289059,438289059,1,90.52,3,경기,0.6399999987734122,2026-02-02 20:53:01,20.344676308728108,19.89838920500452,0.6399999987734122,0.6931471805599453,0.15090922809929827,4.5165575276314875,25009829.561432023,17.034779527998065,9,0.8,0,True,False,False,False,False,False,2,False,False,True,False,False,14.101855022799603,0.6399999987734122,3.130639116114563,5-10억,False,False,False,True,False
SAMPLE-000023,2024타경70160,상가,경기 남구,343061886,274449509,274449509,3,113.57,2,경기,0.8000000005829851,2026-02-02 20:53:01,19.653421417426365,19.430277867569618,0.8000000005829851,1.3862943611198906,0.45272768429789484,4.741185989905534,9985813.853472248,16.116676129261183,4,0.9,0,True,False,False,False,False,False,2,False,False,True,False,False,27.245427287691058,2.4000000017489556,6.572679402826669,3-5억,False,False,True,False,False
SAMPLE-000024,2024타경48494,상가,서울 서초구,351120930,351120930,351120930,16,139.21,1,서울,1.0,2026-02-02 20:53:01,19.676641254855888,19.676641254855888,1.0,2.833213344056216,2.4145476495887723,4.94314129873304,8337981.08690064,15.936331789051735,1,1.0,4,False,False,False,False,True,False,2,False,False,True,False,False,55.74812256946475,16.0,14.004973889125823,3-5억,False,False,True,False,False
SAMPLE-000025,2024타경70692,상가,서울 남구,2096569304,2096569304,2096569304,9,42.1,1,서울,1.0,2026-02-02 20:53:01,21.46356818150545,21.46356818150545,1.0,2.302585092994046,1.3581830528936845,3.763522997109702,164627259.29997447,18.919194447925715,1,1.0,4,False,False,False,False,True,False,2,False,False,True,False,False,49.42169213719578,9.0,8.665831950285073,10억이상,False,False,False,False,True
SAMPLE-000026,2024타경65069,아파트,경기 강남구,577348617,461878894,461878894,5,102.54,2,경기,0.8000000006928223,2026-02-02 20:53:01,20.173956832663944,19.950813282648774,0.8000000006928223,1.791759469228055,0.7545461404964914,4.639958011473755,18613131.162682734,16.739377919813084,4,0.9,0,True,False,False,False,False,False,3,False,False,False,True,False,36.14687818672364,4.000000003464112,8.313688703878677,5-10억,False,False,False,True,False
SAMPLE-000027,2024타경96900,아파트,경기 남구,1012574063,648047400,736515519,1,75.21,3,경기,0.7273695287215746,2026-02-02 20:53:01,20.735761503899294,20.289474401332598,0.6399999996839737,0.6931471805599453,0.15090922809929827,4.333492687678026,44506744.7730377,17.611151326053147,9,0.8,0,True,False,False,False,False,False,3,False,False,False,True,False,14.372934623191247,0.6399999996839737,3.0037482384411636,10억이상,False,False,False,False,True
SAMPLE-000028,2024타경60343,오피스텔,인천 서초구,404718145,207215690,255764389,3,32.76,4,인천,0.6319568128085782,2026-02-02 20:53:01,19.818701446992613,19.149270794246803,0.5119999994069947,1.3862943611198906,0.45272768429789484,3.5192766697277564,40839780.92614457,17.525167211534058,16,0.7,5,False,False,False,False,False,True,4,False,False,False,False,True,27.474554060684476,1.535999998220984,4.878753402464376,3-5억,False,False,True,False,False
SAMPLE-000029,2024타경19435,아파트,대구 서초구,662056203,662056203,662056203,11,48.95,1,대구,1.0,2026-02-02 20:53:01,20.31086101059957,20.31086101059957,1.0,2.4849066497880004,1.660001509092281,3.9110225050945626,44711247.131919056,17.615735663989582,1,1.0,2,False,False,True,False,False,False,3,False,False,False,True,False,50.4705935881587,11.0,9.718525830380003,5-10억,False,False,False,True,False
SAMPLE-000030,2024타경32700,단독주택,서울 남구,339588090,217336377,220685774,3,88.43,3,서울,0.6498631150462314,2026-02-02 20:53:01,19.643243944059844,19.196956840327143,0.6399999982331536,1.3862943611198906,0.45272768429789484,4.49345619635809,12694846.276131935,16.356706742810815,9,0.8,4,False,False,False,False,True,False,1,False,True,False,False,False,27.2313183137526,1.9199999946994608,6.229252986950452,3-5억,False,False,True,False,False
SAMPLE-000031,2024타경20975,상가,서울 중구,2785233491,2785233491,2785233491,10,186.25,1,서울,1.0,2026-02-02 20:53:01,21.747597545949596,21.747597545949596,1.0,2.3978952727983707,1.5090922809929828,5.232444622397328,49435615.79233458,17.71618171007046,1,1.0,4,False,False,False,False,True,False,2,False,False,True,False,False,52.14846135015398,10.0,12.54685422522581,10억이상,False,False,False,False,True
SAMPLE-000032,2024타경48088,단독주택,경기 강남구,312350325,312350325,312350325,6,88.22,1,경기,1.0,2026-02-02 20:53:01,19.559635955604286,19.559635955604286,1.0,1.9459101490553132,0.9054553685957897,4.491105229700119,11704410.086729083,16.275476344675077,1,1.0,0,True,False,False,False,False,False,1,False,True,False,False,False,38.0612941178376,6.0,8.739287246948855,3-5억,False,False,True,False,False
SAMPLE-000033,2024타경18415,상가,대구 강남구,1260890305,645575836,662450587,1,57.64,4,대구,0.5253832029424638,2026-02-02 20:53:01,20.95508390045465,20.285653247020093,0.5119999998731055,0.6931471805599453,0.15090922809929827,4.071417057578396,72314927.36334386,18.09654114386988,16,0.7,2,False,False,True,False,False,False,2,False,False,True,False,False,14.524957323997242,0.5119999998731055,2.822091254344133,10억이상,False,False,False,False,True
SAMPLE-000034,2024타경66397,오피스텔,경기 강남구,333675894,213552572,222203030,5,78.19,3,경기,0.6659247311404521,2026-02-02 20:53:01,19.625680705571586,19.179393603879703,0.6399999995204928,1.791759469228055,0.7545461404964914,4.371850028222321,14107440.933771202,16.46221301283406,9,0.8,0,True,False,False,False,False,False,4,False,False,False,False,True,35.16449924425422,3.199999997602464,7.8333036861122824,3-5억,False,False,True,False,False
SAMPLE-000035,2024타경47441,아파트,기타 송파구,516445736,413156589,413156589,4,65.15,2,기타,0.8000000003872624,2026-02-02 20:53:01,20.06248078195357,19.83933723160752,0.8000000003872624,1.6094379124341003,0.6036369123971931,4.191924890560965,26205044.227244183,17.081462516118236,4,0.9,1,False,True,False,False,False,False,3,False,False,False,True,False,32.28931718795661,3.2000000015490495,6.746642844944984,5-10억,False,False,False,True,False
SAMPLE-000036,2024타경95392,오피스텔,기타 서초구,320781704,256625363,256625363,4,78.83,2,기타,0.799999999376523,2026-02-02 20:53:01,19.586271403028654,19.363127851714445,0.799999999376523,1.6094379124341003,0.6036369123971931,4.379899373657707,13452180.453177305,16.414651840688084,4,0.9,1,False,True,False,False,False,False,4,False,False,False,False,True,31.522887759258154,3.199999997506092,7.049176104611084,3-5억,False,False,True,False,False
SAMPLE-000037,2024타경51240,아파트,서울 송파구,769833270,615866616,615866616,3,147.8,2,서울,0.8,2026-02-02 20:53:01,20.461684518196915,20.23854096720745,0.8,1.3862943611198906,0.45272768429789484,5.002603122398992,17218561.37957257,16.66149856797193,4,0.9,4,False,False,False,False,True,False,3,False,False,False,True,False,28.365917866590546,2.4000000000000004,6.93508049950248,5-10억,False,False,False,True,False
SAMPLE-000038,2024타경61745,오피스텔,경기 강남구,703220857,703220857,703220857,7,56.12,1,경기,1.0,2026-02-02 20:53:01,20.37118156544256,20.37118156544256,1.0,2.0794415416798357,1.0563645966950879,4.0451543180313285,41423682.25113836,17.539363334438292,1,1.0,0,True,False,False,False,False,False,4,False,False,False,False,True,42.36068120028372,7.0,8.41166193141991,5-10억,False,False,False,True,False
SAMPLE-000039,2024타경18717,다세대,인천 서초구,74459509,59567607,59567607,4,101.95,2,인천,0.7999999973139764,2026-02-02 20:53:01,18.125766045672716,17.902622494358504,0.7999999973139764,1.6094379124341003,0.6036369123971931,4.634243433473799,2414390.752232297,14.69695795091645,4,0.9,5,False,False,False,False,False,True,0,True,False,False,False,False,29.172295065816392,3.1999999892559057,7.4585270772815075,1억이하,True,False,False,False,False
SAMPLE-000040,2024타경83688,단독주택,경기 남구,540777078,540777078,540777078,9,97.27,1,경기,1.0,2026-02-02 20:53:01,20.108517698288907,20.108517698288907,1.0,2.302585092994046,1.3581830528936845,4.587718792374336,18378665.773976672,16.726701135480518,1,1.0,0,True,False,False,False,False,False,1,False,True,False,False,False,46.30157309428698,9.0,10.563612902169792,5-10억,False,False,False,True,False
SAMPLE-000041,2024타경72981,단독주택,서울 중구,539027186,539027186,539027186,14,49.03,1,서울,1.0,2026-02-02 20:53:01,20.105276567304387,20.105276567304387,1.0,2.70805020110221,2.1127291933901757,3.912622825500114,36343219.516470775,17.40851823881274,1,1.0,4,False,False,False,False,True,False,1,False,True,False,False,False,54.44609825130419,14.0,10.595579029432681,5-10억,False,False,False,True,False
SAMPLE-000042,2024타경87149,다세대,인천 송파구,175954811,175954811,175954811,5,74.84,1,인천,1.0,2026-02-02 20:53:01,18.9857377700365,18.9857377700365,1.0,1.791759469228055,0.7545461404964914,4.328625857946767,7772164.57368005,15.866059393122853,1,1.0,5,False,False,False,False,False,True,0,True,False,False,False,False,34.01787542974363,5.0,7.755856369721533,1-3억,False,True,False,False,False
SAMPLE-000043,2024타경16469,아파트,서울 서초구,858090375,351473817,547453391,2,85.14,5,서울,0.6379903643599312,2026-02-02 20:53:01,20.570219985238403,19.67764577995425,0.40959999930077295,1.0986122886681098,0.30181845619859654,4.455973879625964,33317622.700190447,17.321597055198406,25,0.6,4,False,False,False,False,True,False,3,False,False,False,True,False,22.598696456389252,0.8191999986015459,4.8953876621411965,5-10억,False,False,False,True,False
SAMPLE-000044,2024타경69383,단독주택,경기 서초구,575936095,575936095,575936095,7,51.82,1,경기,1.0,2026-02-02 20:53:01,20.17150726806093,20.17150726806093,1.0,2.0794415416798357,1.0563645966950879,3.9668899068689862,36741045.449760936,17.41940511991942,1,1.0,0,True,False,False,False,False,False,1,False,True,False,False,False,41.945470171502635,7.0,8.248915663613825,5-10억,False,False,False,True,False
SAMPLE-000045,2024타경53925,상가,서울 중구,2971386662,1901687463,1939120082,6,84.8,3,서울,0.6525976934603336,2026-02-02 20:53:01,21.812294570700832,21.366007467904144,0.6399999997711506,1.9459101490553132,0.9054553685957897,4.4520190064939165,115834502.65086544,18.56767303771068,9,0.8,4,False,False,False,False,True,False,2,False,False,True,False,False,42.44476537931086,3.8399999986269036,8.663228968523665,10억이상,False,False,False,False,True
SAMPLE-000046,2024타경97062,상가,서울 강남구,2416511838,2416511838,2416511838,15,64.28,1,서울,1.0,2026-02-02 20:53:01,21.605590948471843,21.605590948471843,1.0,2.772588722239781,2.2636384214894743,4.178685710655851,124276118.325302,18.63801641674655,1,1.0,4,False,False,False,False,True,False,2,False,False,True,False,False,59.90341780105893,15.0,11.58577687514894,10억이상,False,False,False,False,True
SAMPLE-000047,2024타경12336,아파트,경기 중구,542800679,542800679,542800679,12,98.5,1,경기,1.0,2026-02-02 20:53:01,20.11225273868765,20.11225273868765,1.0,2.5649493574615367,1.8109107371915794,4.600157644164547,18217080.303729497,16.71787024507209,1,1.0,0,True,False,False,False,False,False,3,False,False,False,True,False,51.58690973920093,12.0,11.79917139362163,5-10억,False,False,False,True,False
SAMPLE-000048,2024타경13756,다세대,부산 서초구,444544536,284508503,284508503,2,60.79,3,부산,0.6399999999100202,2026-02-02 20:53:01,19.912560803624512,19.466273702120837,0.6399999999100202,1.0986122886681098,0.30181845619859654,4.123741539072888,24174514.131429296,17.000809542491506,9,0.8,3,False,False,False,True,False,False,0,True,False,False,False,False,21.876183997712822,1.2799999998200404,4.53039313011662,3-5억,False,False,True,False,False
SAMPLE-000049,2024타경37306,오피스텔,인천 중구,484938510,484938510,484938510,10,52.56,1,인천,1.0,2026-02-02 20:53:01,19.99953265942101,19.99953265942101,1.0,2.3978952727983707,1.5090922809929828,3.9808025208229716,30500428.318049736,17.233251317480203,1,1.0,5,False,False,False,False,False,True,4,False,False,False,False,True,47.956784822202266,10.0,9.545547546625242,3-5억,False,False,True,False,False
SAMPLE-000050,2024타경29256,단독주택,경기 강남구,723387642,462968091,462968091,4,113.02,3,경기,0.6400000001658862,2026-02-02 20:53:01,20.3994557955006,19.953168693908967,0.6400000001658862,1.6094379124341003,0.6036369123971931,4.736373871603436,21158769.295568254,16.867565048689485,9,0.8,0,True,False,False,False,False,False,1,False,True,False,False,False,32.8316575503022,2.560000000663545,7.622899676420851,5-10억,False,False,False,True,False
SAMPLE-000051,2024타경18666,오피스텔,경기 서초구,344977687,344977687,344977687,5,23.29,1,경기,1.0,2026-02-02 20:53:01,19.65899030044051,19.65899030044051,1.0,1.791759469228055,0.7545461404964914,3.190064743014081,48966170.27845101,17.706640235579027,1,1.0,0,True,False,False,False,False,False,4,False,False,False,False,True,35.22418202627677,5.0,5.715828710746041,3-5억,False,False,True,False,False
SAMPLE-000052,2024타경37696,오피스텔,경기 강남구,236153409,236153409,236153409,8,47.15,1,경기,1.0,2026-02-02 20:53:01,19.27999219417674,19.27999219417674,1.0,2.1972245773362196,1.2072738247943862,3.8743211382441345,16557209.468637986,16.622332242770625,1,1.0,0,True,False,False,False,False,False,4,False,False,False,False,True,42.3624726998956,8.0,8.51275362544325,1-3억,False,True,False,False,False
SAMPLE-000053,2024타경99106,단독주택,경기 서초구,614698187,491758550,491758550,4,107.46,2,경기,0.8000000006507259,2026-02-02 20:53:01,20.23664195409349,20.01349840399939,0.8000000006507259,1.6094379124341003,0.6036369123971931,4.686381441412914,18909921.10845012,16.755197321559532,4,0.9,0,True,False,False,False,False,False,1,False,True,False,False,False,32.56961878127256,3.2000000026029034,7.54243996393751,5-10억,False,False,False,True,False
SAMPLE-000054,2024타경91974,아파트,부산 중구,507959951,406367961,406367961,4,97.68,2,부산,0.8000000003937319,2026-02-02 20:53:01,20.04591316778947,19.822769617459592,0.8000000003937319,1.6094379124341003,0.6036369123971931,4.591882291661156,17190893.218537845,16.659890395699936,4,0.9,3,False,False,False,True,False,False,3,False,False,False,True,False,32.26265264160233,3.2000000015749275,7.390349449634243,5-10억,False,False,False,True,False
SAMPLE-000055,2024타경57057,다세대,대구 서초구,210233720,210233720,210233720,12,79.66,1,대구,1.0,2026-02-02 20:53:01,19.163730426946945,19.163730426946945,1.0,2.5649493574615367,1.8109107371915794,4.390242789445222,8724422.59769309,15.981636960568837,1,1.0,2,False,False,True,False,False,False,0,True,False,False,False,False,49.15399804516367,12.0,11.260750421887666,1-3억,False,True,False,False,False
SAMPLE-000056,2024타경72516,아파트,서울 중구,185818475,148654780,148654780,7,59.96,2,서울,0.8,2026-02-02 20:53:01,19.0402808196585,18.817137269689688,0.8,2.0794415416798357,1.0563645966950879,4.110217911378391,10244762.34845269,16.142277240164596,4,0.9,4,False,False,False,False,True,False,3,False,False,False,True,False,39.593150901647675,5.6000000000000005,8.546957870276756,1-3억,False,True,False,False,False
SAMPLE-000057,2024타경61693,오피스텔,기타 중구,381660010,244262406,244262406,1,28.41,3,기타,0.6399999989519468,2026-02-02 20:53:01,19.760040746704504,19.313753643912328,0.6399999989519468,0.6931471805599453,0.15090922809929827,3.3813347525659037,44409925.5005658,17.608973572247006,9,0.8,1,False,True,False,False,False,False,4,False,False,False,False,True,13.696616531327864,0.6399999989519468,2.3437626502704165,3-5억,False,False,True,False,False
SAMPLE-000058,2024타경71396,다세대,경기 송파구,152706814,152706814,152706814,9,54.51,1,경기,1.0,2026-02-02 20:53:01,18.844030399186423,18.844030399186423,1.0,2.302585092994046,1.3581830528936845,4.01656318470207,9260978.059981413,16.04132033105293,1,1.0,0,True,False,False,False,False,False,0,True,False,False,False,False,43.3899834890933,9.0,9.248478514163677,1-3억,False,True,False,False,False
SAMPLE-000059,2024타경82355,아파트,서울 강남구,1138449180,910759344,910759344,6,67.58,2,서울,0.8,2026-02-02 20:53:01,20.852932805669006,20.629789254574394,0.8,1.9459101490553132,0.9054553685957897,4.228000947034774,55689084.990179986,17.835294742972554,4,0.9,4,False,False,False,False,True,False,3,False,False,False,True,False,40.577933584119805,4.800000000000001,8.227309953050442,10억이상,False,False,False,False,True
SAMPLE-000060,2024타경34058,오피스텔,서울 남구,561795619,449436495,449436495,4,48.56,2,서울,0.7999999996439986,2026-02-02 20:53:01,20.146648676235213,19.923505124921,0.7999999996439986,1.6094379124341003,0.6036369123971931,3.9031840567609417,38244967.05107084,17.459522555362433,4,0.9,4,False,False,False,False,True,False,4,False,False,False,False,True,32.42478018802323,3.1999999985759944,6.281932400159393,5-10억,False,False,False,True,False
SAMPLE-000061,2024타경67134,오피스텔,경기 중구,577049215,577049215,577049215,13,26.4,1,경기,1.0,2026-02-02 20:53:01,20.17343811719533,20.17343811719533,1.0,2.6390573296152584,1.9618199652908774,3.3105430133940246,72257602.67968945,18.095748120660723,1,1.0,0,True,False,False,False,False,False,4,False,False,False,False,True,53.23885972672418,13.0,8.736712804504085,5-10억,False,False,False,True,False
SAMPLE-000062,2024타경66276,오피스텔,부산 서초구,499411796,399529437,399529437,4,59.53,2,부산,0.8000000004004711,2026-02-02 20:53:01,20.02894155787776,19.80579800756473,0.8000000004004711,1.6094379124341003,0.6036369123971931,4.103139109903596,27733043.60743177,17.138135206279415,4,0.9,3,False,False,False,True,False,False,4,False,False,False,False,True,32.23533788917538,3.2000000016018846,6.603747643469956,3-5억,False,False,True,False,False
SAMPLE-000063,2024타경30662,상가,부산 중구,465938152,372750522,372750522,4,49.6,2,부산,0.800000000858483,2026-02-02 20:53:01,19.95956346439787,19.736419914693315,0.800000000858483,1.6094379124341003,0.6036369123971931,3.92395157629342,31054262.330045324,17.25124666223372,4,0.9,3,False,False,False,True,False,False,2,False,False,True,False,False,32.12367815523645,3.200000003433932,6.315356433442179,3-5억,False,False,True,False,False
SAMPLE-000064,2024타경85532,아파트,경기 남구,834587589,667670071,667670071,3,121.16,2,경기,0.7999999997603607,2026-02-02 20:53:01,20.542448256612662,20.319304705298453,0.7999999997603607,1.3862943611198906,0.45272768429789484,4.805331660910377,22771271.346679073,16.94101031468165,4,0.9,0,True,False,False,False,False,False,3,False,False,False,True,False,28.47788018173926,2.399999999281082,6.661604184830933,5-10억,False,False,False,True,False
SAMPLE-000065,2024타경65619,다세대,기타 서초구,327561964,327561964,327561964,8,119.81,1,기타,1.0,2026-02-02 20:53:01,19.607187801249232,19.607187801249232,1.0,2.1972245773362196,1.2072738247943862,4.7942190635314725,9038055.819786286,16.016954755699068,1,1.0,1,False,True,False,False,False,False,0,True,False,False,False,False,43.081394929351724,8.0,10.533975955525186,3-5억,False,False,True,False,False
